api_id,method,endpoint,module,basis,source,status,workbook,success_code,read_tables,mutated_tables,request_fields,response_fields,error_cases,rendered_sheets,size_bytes
001,GET,/api/v1/catalog/overview,01. Public Catalog,SUY DẪN,BD-01,Draft — Needs Confirmation,PLAN_01_Public_Catalog/API_001_GET_catalog_overview.xlsx,CATALOG_OVERVIEW_RETRIEVED,learning_paths|courses,,2,6,5,7,47651
002,GET,/api/v1/catalog/learning-paths,01. Public Catalog,TRỰC TIẾP,SEQ-02,Draft,PLAN_01_Public_Catalog/API_002_GET_catalog_learning_paths.xlsx,CATALOG_LEARNING_PATHS_LISTED,learning_paths|learning_path_courses|learning_path_enrollments,,10,13,7,7,49249
003,GET,/api/v1/catalog/learning-paths/{slug},01. Public Catalog,SUY DẪN,BD-01,Draft — Needs Confirmation,PLAN_01_Public_Catalog/API_003_GET_catalog_learning_paths_by_slug.xlsx,CATALOG_LEARNING_PATHS_SLUG_RETRIEVED,learning_paths|learning_path_courses|learning_path_enrollments,,3,9,8,7,48591
004,GET,/api/v1/catalog/courses,01. Public Catalog,SUY DẪN,BD-01,Draft — Needs Confirmation,PLAN_01_Public_Catalog/API_004_GET_catalog_courses.xlsx,CATALOG_COURSES_RETRIEVED,courses|course_enrollments,,12,12,7,7,48996
005,GET,/api/v1/catalog/courses/{slug},01. Public Catalog,TRỰC TIẾP,SEQ-02,Draft,PLAN_01_Public_Catalog/API_005_GET_catalog_courses_by_slug.xlsx,CATALOG_COURSES_SLUG_RETRIEVED,courses|course_enrollments,,3,10,8,7,48504
006,GET,/api/v1/catalog/sample-lessons/{lesson_id},01. Public Catalog,TRỰC TIẾP,SEQ-02,Draft,PLAN_01_Public_Catalog/API_006_GET_catalog_sample_lessons_by_lesson_id.xlsx,CATALOG_SAMPLE_LESSON_LOADED,lessons|lesson_progress,,2,7,7,7,48014
007,POST,/api/v1/auth/register,"02. Tài khoản, xác thực và hồ sơ",TRỰC TIẾP,SEQ-03,Draft,PLAN_02_Authentication_Core/API_007_POST_auth_register.xlsx,ACCOUNT_REGISTERED_PENDING_VERIFICATION,users|sessions,users|user_profiles|user_consents|verification_requests|outbox_events,8,5,9,12,75359
008,POST,/api/v1/auth/login,"02. Tài khoản, xác thực và hồ sơ",TRỰC TIẾP,SEQ-03,Draft,PLAN_02_Authentication_Core/API_008_POST_auth_login.xlsx,ACCOUNT_LOGIN_SUCCEEDED,users|sessions,sessions,4,8,8,8,54469
009,POST,/api/v1/auth/logout,"02. Tài khoản, xác thực và hồ sơ",SUY DẪN,BD-02,Draft — Needs Confirmation,PLAN_02_Authentication_Core/API_009_POST_auth_logout.xlsx,AUTH_LOGOUT_COMPLETED,users|sessions,sessions,4,2,9,8,54346
010,POST,/api/v1/auth/verification/send,"02. Tài khoản, xác thực và hồ sơ",SUY DẪN,BD-02,Draft — Needs Confirmation,PLAN_02_Authentication_Core/API_010_POST_auth_verification_send.xlsx,AUTH_VERIFICATION_SEND_COMPLETED,users|sessions|verification_requests,verification_requests|outbox_events,5,5,10,9,60161
011,POST,/api/v1/auth/verify-contact,"02. Tài khoản, xác thực và hồ sơ",TRỰC TIẾP,SEQ-03,Draft,PLAN_02_Authentication_Core/API_011_POST_auth_verify_contact.xlsx,ACCOUNT_CONTACT_VERIFIED,users|sessions|verification_requests,verification_requests,5,4,9,8,54769
012,GET,/api/v1/auth/account-status,"02. Tài khoản, xác thực và hồ sơ",SUY DẪN,BD-02,Draft — Needs Confirmation,PLAN_02_Authentication_Core/API_012_GET_auth_account_status.xlsx,AUTH_ACCOUNT_STATUS_RETRIEVED,users|sessions,,2,6,7,7,47871
013,POST,/api/v1/auth/password/forgot,"02. Tài khoản, xác thực và hồ sơ",SUY DẪN,BD-02,Draft — Needs Confirmation,PLAN_02_Authentication_Core/API_013_POST_auth_password_forgot.xlsx,AUTH_PASSWORD_FORGOT_COMPLETED,users|sessions|password_reset_tokens,password_reset_tokens|outbox_events,3,4,9,9,59566
014,POST,/api/v1/auth/password/reset,"02. Tài khoản, xác thực và hồ sơ",SUY DẪN,BD-02,Draft — Needs Confirmation,PLAN_02_Authentication_Core/API_014_POST_auth_password_reset.xlsx,AUTH_PASSWORD_RESET_COMPLETED,users|sessions|password_reset_tokens,password_reset_tokens|outbox_events,5,3,9,9,59605
015,PUT,/api/v1/auth/password,"02. Tài khoản, xác thực và hồ sơ",SUY DẪN,BD-02,Draft — Needs Confirmation,PLAN_02_Authentication_Core/API_015_PUT_auth_password.xlsx,AUTH_PASSWORD_UPDATED,users|sessions|password_reset_tokens,users,6,3,10,8,54588
016,GET,/api/v1/me/profile,"02. Tài khoản, xác thực và hồ sơ",SUY DẪN,BD-02,Draft — Needs Confirmation,PLAN_03_Profile_Contact_Navigation/API_016_GET_me_profile.xlsx,ME_PROFILE_RETRIEVED,user_profiles,,2,5,7,7,47739
017,PATCH,/api/v1/me/profile,"02. Tài khoản, xác thực và hồ sơ",SUY DẪN,BD-02,Draft — Needs Confirmation,PLAN_03_Profile_Contact_Navigation/API_017_PATCH_me_profile.xlsx,ME_PROFILE_UPDATED,user_profiles,user_profiles,11,3,9,8,55109
018,POST,/api/v1/me/contact-change,"02. Tài khoản, xác thực và hồ sơ",SUY DẪN,BD-02,Draft — Needs Confirmation,PLAN_03_Profile_Contact_Navigation/API_018_POST_me_contact_change.xlsx,ME_CONTACT_CHANGE_CREATED,user_profiles,verification_requests|outbox_events,6,4,11,9,60308
019,POST,/api/v1/me/contact-change/confirm,"02. Tài khoản, xác thực và hồ sơ",SUY DẪN,BD-02,Draft — Needs Confirmation,PLAN_03_Profile_Contact_Navigation/API_019_POST_me_contact_change_confirm.xlsx,ME_CONTACT_CHANGE_CONFIRM_COMPLETED,user_profiles,verification_requests|outbox_events,5,3,11,9,60107
020,GET,/api/v1/me/navigation-context,"02. Tài khoản, xác thực và hồ sơ",SUY DẪN,BD-02,Draft — Needs Confirmation,PLAN_03_Profile_Contact_Navigation/API_020_GET_me_navigation_context.xlsx,ME_NAVIGATION_CONTEXT_RETRIEVED,users|onboarding_records|learning_path_enrollments,,2,7,7,7,48162
021,GET,/api/v1/onboarding/config,03. Onboarding,SUY DẪN,BD-03,Draft — Needs Confirmation,PLAN_04_Onboarding/API_021_GET_onboarding_config.xlsx,ONBOARDING_CONFIG_RETRIEVED,onboarding_records|user_profiles,,3,8,7,7,48169
022,GET,/api/v1/onboarding/current,03. Onboarding,TRỰC TIẾP,SEQ-04,Draft,PLAN_04_Onboarding/API_022_GET_onboarding_current.xlsx,ONBOARDING_CURRENT_RETRIEVED,onboarding_records|user_profiles,,2,6,7,7,47992
023,PATCH,/api/v1/onboarding/draft,03. Onboarding,TRỰC TIẾP,SEQ-04,Draft,PLAN_04_Onboarding/API_023_PATCH_onboarding_draft.xlsx,ONBOARDING_DRAFT_SAVED,onboarding_records|user_profiles,onboarding_records,6,6,10,8,54911
024,GET,/api/v1/onboarding/recommended-paths,03. Onboarding,TRỰC TIẾP,SEQ-04,Draft,PLAN_04_Onboarding/API_024_GET_onboarding_recommended_paths.xlsx,ONBOARDING_RECOMMENDED_PATHS_RETRIEVED,onboarding_records|user_profiles,,3,9,7,7,48418
025,PUT,/api/v1/onboarding/selected-path,03. Onboarding,SUY DẪN,BD-03,Draft — Needs Confirmation,PLAN_04_Onboarding/API_025_PUT_onboarding_selected_path.xlsx,ONBOARDING_SELECTED_PATH_UPDATED,onboarding_records|user_profiles,onboarding_records,4,4,10,8,54580
026,GET,/api/v1/onboarding/review,03. Onboarding,SUY DẪN,BD-03,Draft — Needs Confirmation,PLAN_04_Onboarding/API_026_GET_onboarding_review.xlsx,ONBOARDING_REVIEW_RETRIEVED,onboarding_records|user_profiles,,2,8,7,7,47942
027,POST,/api/v1/onboarding/confirm,03. Onboarding,TRỰC TIẾP,SEQ-04,Draft,PLAN_04_Onboarding/API_027_POST_onboarding_confirm.xlsx,ONBOARDING_COMPLETED,onboarding_records|user_profiles,onboarding_records|learning_path_enrollments|course_enrollments|audit_logs,6,5,10,11,70476
028,GET,/api/v1/learning-paths,04. Lộ trình học,SUY DẪN,BD-04,Draft — Needs Confirmation,PLAN_05_Learning_Paths_and_Support_Requests/API_028_GET_learning_paths.xlsx,LEARNING_PATHS_RETRIEVED,learning_paths|learning_path_courses|learning_path_enrollments,,9,5,8,7,48823
029,GET,/api/v1/learning-paths/{path_id},04. Lộ trình học,SUY DẪN,BD-04,Draft — Needs Confirmation,PLAN_05_Learning_Paths_and_Support_Requests/API_029_GET_learning_paths_by_path_id.xlsx,LEARNING_PATHS_RETRIEVED,learning_paths|learning_path_courses|learning_path_enrollments,,3,6,9,7,48381
030,POST,/api/v1/learning-paths/{path_id}/activation-preview,04. Lộ trình học,SUY DẪN,BD-04,Draft — Needs Confirmation,PLAN_05_Learning_Paths_and_Support_Requests/API_030_POST_learning_paths_by_path_id_activation_preview.xlsx,LEARNING_PATHS_ACTIVATION_PREVIEW_CREATED,learning_paths|learning_path_courses|learning_path_enrollments,,3,8,9,7,48591
