api_id,plan,basis,source_refs,business_rules,tables,status,review_flag
001,PLAN_01_Public_Catalog.md,SUY DẪN,BD-01|CLASS-01|UC-01,PC-01,learning_paths|courses,Draft — Needs Confirmation,Confirm endpoint/contract
002,PLAN_01_Public_Catalog.md,TRỰC TIẾP,SEQ-02|BD-01|AC-02|CLASS-01|UC-01,"PC-01, PC-05, PC-06",learning_paths|learning_path_courses|learning_path_enrollments,Draft,Reconcile missing architecture/schema
003,PLAN_01_Public_Catalog.md,SUY DẪN,BD-01|CLASS-01|UC-01,"PC-01, PC-05, PC-06",learning_paths|learning_path_courses|learning_path_enrollments,Draft — Needs Confirmation,Confirm endpoint/contract
004,PLAN_01_Public_Catalog.md,SUY DẪN,BD-01|CLASS-01|UC-01,PC-01,courses|course_enrollments,Draft — Needs Confirmation,Confirm endpoint/contract
005,PLAN_01_Public_Catalog.md,TRỰC TIẾP,SEQ-02|BD-01|AC-02|CLASS-01|UC-01,"PC-01, CRS-02",courses|course_enrollments,Draft,Reconcile missing architecture/schema
006,PLAN_01_Public_Catalog.md,TRỰC TIẾP,SEQ-02|BD-01|AC-02|CLASS-01|UC-01,"PC-02, PC-03, CRS-02",lessons|lesson_progress,Draft,Reconcile missing architecture/schema
007,PLAN_02_Authentication_Core.md,TRỰC TIẾP,SEQ-03|BD-02|AC-03|CLASS-01|UC-01,"ACC-01, ACC-02",users|sessions|user_profiles|user_consents|verification_requests|outbox_events,Draft,Reconcile missing architecture/schema
008,PLAN_02_Authentication_Core.md,TRỰC TIẾP,SEQ-03|BD-02|AC-03|CLASS-01|UC-01,"ACC-02, ACC-06",users|sessions,Draft,Reconcile missing architecture/schema
009,PLAN_02_Authentication_Core.md,SUY DẪN,BD-02|CLASS-01|UC-01,Luồng 3.3,users|sessions,Draft — Needs Confirmation,Confirm endpoint/contract
010,PLAN_02_Authentication_Core.md,SUY DẪN,BD-02|CLASS-01|UC-01,ACC-02; chống spam,users|sessions|verification_requests|outbox_events,Draft — Needs Confirmation,Confirm endpoint/contract
011,PLAN_02_Authentication_Core.md,TRỰC TIẾP,SEQ-03|BD-02|AC-03|CLASS-01|UC-01,ACC-02,users|sessions|verification_requests,Draft,Reconcile missing architecture/schema
012,PLAN_02_Authentication_Core.md,SUY DẪN,BD-02|CLASS-01|UC-01,"ACC-02, ACC-06",users|sessions,Draft — Needs Confirmation,Confirm endpoint/contract
013,PLAN_02_Authentication_Core.md,SUY DẪN,BD-02|CLASS-01|UC-01,Không lộ dữ liệu nhạy cảm,users|sessions|password_reset_tokens|outbox_events,Draft — Needs Confirmation,Confirm endpoint/contract
014,PLAN_02_Authentication_Core.md,SUY DẪN,BD-02|CLASS-01|UC-01,Luồng 3.4,users|sessions|password_reset_tokens|outbox_events,Draft — Needs Confirmation,Confirm endpoint/contract
015,PLAN_02_Authentication_Core.md,SUY DẪN,BD-02|CLASS-01|UC-01,Luồng 3.4,users|sessions|password_reset_tokens,Draft — Needs Confirmation,Confirm endpoint/contract
016,PLAN_03_Profile_Contact_Navigation.md,SUY DẪN,BD-02|CLASS-01|UC-01,ACC-07,user_profiles,Draft — Needs Confirmation,Confirm endpoint/contract
017,PLAN_03_Profile_Contact_Navigation.md,SUY DẪN,BD-02|CLASS-01|UC-01,"ACC-05, ACC-07",user_profiles,Draft — Needs Confirmation,Confirm endpoint/contract
018,PLAN_03_Profile_Contact_Navigation.md,SUY DẪN,BD-02|CLASS-01|UC-01,ACC-03,user_profiles|verification_requests|outbox_events,Draft — Needs Confirmation,Confirm endpoint/contract
019,PLAN_03_Profile_Contact_Navigation.md,SUY DẪN,BD-02|CLASS-01|UC-01,ACC-03,user_profiles|verification_requests|outbox_events,Draft — Needs Confirmation,Confirm endpoint/contract
020,PLAN_03_Profile_Contact_Navigation.md,SUY DẪN,BD-02|CLASS-01|UC-01,"PC-05, ACC luồng 4.2",users|onboarding_records|learning_path_enrollments,Draft — Needs Confirmation,Confirm endpoint/contract
021,PLAN_04_Onboarding.md,SUY DẪN,BD-03|CLASS-01|UC-01,ONB-06,onboarding_records|user_profiles,Draft — Needs Confirmation,Confirm endpoint/contract
022,PLAN_04_Onboarding.md,TRỰC TIẾP,SEQ-04|BD-03|AC-04|CLASS-01|UC-01,ONB-05,onboarding_records|user_profiles,Draft,Reconcile missing architecture/schema
023,PLAN_04_Onboarding.md,TRỰC TIẾP,SEQ-04|BD-03|AC-04|CLASS-01|UC-01,ONB-05,onboarding_records|user_profiles,Draft,Reconcile missing architecture/schema
024,PLAN_04_Onboarding.md,TRỰC TIẾP,SEQ-04|BD-03|AC-04|CLASS-01|UC-01,ONB-04,onboarding_records|user_profiles,Draft,Reconcile missing architecture/schema
